         10473134 function calls (10377090 primitive calls) in 10.609 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      586    0.002    0.000    0.165    0.000 _ufunc.py:430(__call__)
        4    0.000    0.000    0.000    0.000 _ufunc.py:553(__call__)
        1    0.000    0.000    0.000    0.000 _ufunc.py:653(_assign_ufuncs)
     3355    0.016    0.000    0.354    0.000 _ufunc.py:660(__array_ufunc__)
     3148    0.003    0.000    0.264    0.000 _ufunc.py:69(ufunc)
        2    0.000    0.000    0.222    0.111 _ufunc.py:80(ufunc_call_only)
      399    0.001    0.000    0.183    0.000 _ufunc.py:97(jit_calculate)
    16078    0.002    0.000    0.002    0.000 _utils.py:13(is_used)
     8860    0.004    0.000    0.017    0.000 _utils.py:16(register)
     8409    0.006    0.000    0.011    0.000 _utils.py:24(deduplicate)
22119/9138    0.009    0.000    0.061    0.000 _utils.py:44(__str__)
16300/16230    0.008    0.000    0.017    0.000 _utils.py:54(get_reference)
      167    0.000    0.000    0.000    0.000 _utils.py:64(set_metadata)
     5975    0.001    0.000    0.001    0.000 _utils.py:71(_stringify_metadata)
      490    0.000    0.000    0.000    0.000 _utils.py:9(__init__)
       11    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
       12    0.000    0.000    0.000    0.000 abstract.py:104(mangling_args)
      898    0.000    0.000    0.000    0.000 abstract.py:115(__repr__)
      811    0.000    0.000    0.000    0.000 abstract.py:118(__str__)
9758/7212    0.005    0.000    0.008    0.000 abstract.py:121(__hash__)
8104/7831    0.003    0.000    0.004    0.000 abstract.py:124(__eq__)
      292    0.000    0.000    0.000    0.000 abstract.py:127(__ne__)
        5    0.000    0.000    0.000    0.000 abstract.py:151(can_convert_from)
      725    0.000    0.000    0.000    0.000 abstract.py:158(is_precise)
       17    0.000    0.000    0.000    0.000 abstract.py:177(__call__)
      119    0.000    0.000    0.000    0.000 abstract.py:20(_autoincr)
       52    0.000    0.000    0.000    0.000 abstract.py:28(_on_type_disposal)
        2    0.000    0.000    0.000    0.000 abstract.py:424(__init__)
       22    0.000    0.000    0.000    0.000 abstract.py:434(_literal_init)
       39    0.000    0.000    0.000    0.000 abstract.py:440(literal_value)
      267    0.000    0.000    0.000    0.000 abstract.py:444(literal_type)
        4    0.000    0.000    0.000    0.000 abstract.py:475(__init__)
      297    0.000    0.000    0.000    0.000 abstract.py:479(key)
      304    0.000    0.000    0.002    0.000 abstract.py:49(_intern)
      304    0.001    0.000    0.004    0.000 abstract.py:61(__call__)
      304    0.000    0.000    0.000    0.000 abstract.py:93(__init__)
    12512    0.001    0.000    0.001    0.000 abstract.py:96(key)
      116    0.002    0.000    0.005    0.000 analysis.py:118(compute_dead_maps)
      485    0.000    0.000    0.000    0.000 analysis.py:138(<genexpr>)
      483    0.000    0.000    0.000    0.000 analysis.py:141(<genexpr>)
      394    0.000    0.000    0.000    0.000 analysis.py:182(<genexpr>)
      114    0.001    0.000    0.001    0.000 analysis.py:190(compute_live_variables)
      344    0.000    0.000    0.000    0.000 analysis.py:200(fix_point_progress)
  196/177    0.006    0.000    0.041    0.000 analysis.py:23(compute_use_defs)
      512    0.003    0.000    0.010    0.000 analysis.py:235(compute_cfg_from_blocks)
       36    0.000    0.000    0.002    0.000 analysis.py:291(dead_branch_prune)
       36    0.000    0.000    0.000    0.000 analysis.py:304(find_branches)
       36    0.000    0.000    0.000    0.000 analysis.py:379(Unknown)
       15    0.000    0.000    0.000    0.000 analysis.py:382(resolve_input_arg_const)
     3685    0.000    0.000    0.000    0.000 analysis.py:40(<genexpr>)
       12    0.000    0.000    0.000    0.000 analysis.py:584(rewrite_semantic_constants)
      145    0.000    0.000    0.006    0.000 analysis.py:60(compute_live_map)
       72    0.000    0.000    0.000    0.000 analysis.py:611(rewrite_array_ndim)
       72    0.000    0.000    0.000    0.000 analysis.py:621(rewrite_tuple_len)
       12    0.000    0.000    0.000    0.000 analysis.py:655(find_literally_calls)
      874    0.001    0.000    0.002    0.000 analysis.py:66(fix_point_progress)
     3392    0.001    0.000    0.001    0.000 analysis.py:69(<genexpr>)
    16/14    0.000    0.000    0.000    0.000 analysis.py:706(must_use_alloca)
      290    0.001    0.000    0.006    0.000 analysis.py:71(fix_point)
      350    0.002    0.000    0.002    0.000 analysis.py:81(def_reach)
      234    0.001    0.000    0.001    0.000 analysis.py:91(liveness)
      900    0.000    0.000    0.000    0.000 ansitowin32.py:121(should_wrap)
      900    0.000    0.000    0.000    0.000 ansitowin32.py:131(get_win32_calls)
      900    0.000    0.000    0.000    0.000 ansitowin32.py:22(__init__)
      900    0.001    0.000    0.005    0.000 ansitowin32.py:49(isatty)
      900    0.000    0.000    0.000    0.000 ansitowin32.py:61(closed)
